epoch,step,train/loss,val/loss
0,49,0.49016818404197693,
0,99,0.42361509799957275,
0,149,0.44950708746910095,
0,199,0.46272867918014526,
0,216,,0.5578058958053589
1,249,0.3315305709838867,
1,299,0.4625314176082611,
1,349,0.42968615889549255,
1,399,0.32255977392196655,
1,433,,0.5075365304946899
2,449,0.31317242980003357,
